iter	RMSE
228	0.7706469593
229	0.7678654309
230	0.7673943352
231	0.7648997229
232	0.7644142048
233	0.7639757613
234	0.761507489
235	0.7568880347
236	0.7564682453
237	0.7539935615
238	0.7516850031
239	0.7495417975
240	0.7470095757
241	0.746551068
242	0.7429440621
243	0.7400998064
244	0.7366927402
245	0.734679876
246	0.7334720911
247	0.7298871922
248	0.7263802763
249	0.7219850004
250	0.7189802595
251	0.7153835391
252	0.7136889464
253	0.7133255971
254	0.7099498027
255	0.70956924
256	0.7091450015
257	0.7087639065
258	0.7062198741
259	0.7033256309
260	0.7007567195
261	0.6964403544
262	0.6932029
263	0.6908491847
264	0.690447093
265	0.6901276631
266	0.6886763978
267	0.68832408
268	0.6870522231
269	0.686625064
270	0.6863990401
271	0.686174126
272	0.6834127313
273	0.6831103424
274	0.6812220487
275	0.6788268067
276	0.678514871
277	0.6757163123
278	0.6736996151
279	0.6713174934
280	0.6710308839
281	0.6688542752
282	0.6659162438
283	0.6625114411
284	0.6600991148
285	0.6591945092
286	0.6563545919
287	0.65435198
288	0.6540638388
289	0.6521581865
290	0.6498285885
291	0.64725621
292	0.6460683515
293	0.6434821265
294	0.641399484
295	0.6390678677
296	0.6368581904
297	0.6361821761
298	0.6339619707
299	0.6327376287
300	0.6303115056
301	0.6285164303
302	0.6266840586
303	0.6253530772
304	0.6230403638
305	0.6209943884
306	0.6179864264
307	0.6161028823
308	0.6135914738
309	0.612475909
310	0.6103098876
311	0.6079306369
312	0.6045343969
313	0.601948987
314	0.6008834073
315	0.5990325303
316	0.5977148047
317	0.5975364002
318	0.5954426947
319	0.5929676612
320	0.5909306944
321	0.589071207
322	0.5875817564
323	0.5854478878
324	0.5833207924
325	0.5815502693
326	0.5789561923
327	0.577529852
328	0.5750053235
329	0.572534456
330	0.5705446016
331	0.5680576315
332	0.565353573
333	0.5649335277
334	0.5643930893
335	0.5639977689
336	0.560890429
337	0.5586151037
338	0.5564978001
339	0.5541554268
340	0.5527302181
341	0.5493817215
342	0.5473661943
343	0.5466650728
344	0.5445256357
345	0.5413770324
346	0.5410192981
347	0.5389745431
348	0.5370612999
349	0.5354326321
350	0.5322489654
351	0.5319308867
352	0.5292247476
353	0.5275800112
354	0.5245199118
355	0.5226997964
356	0.5214091006
357	0.5195441116
358	0.5170800685
359	0.5167581843
360	0.5163045768
361	0.5152960449
362	0.5137691795
363	0.5120903195
364	0.5094293793
365	0.5074039853
366	0.5060905802
367	0.5036344171
368	0.5017666741
369	0.4998118794
370	0.4979309846
371	0.4954949636
372	0.4939411269
373	0.492599406
374	0.491247651
375	0.4901627166
376	0.4879489989
377	0.4859922384
378	0.4843943477
379	0.4827450113
380	0.481189234
381	0.4791348475
382	0.4770455882
383	0.4745095462
384	0.4728096655
385	0.4724169163
386	0.4708185263
387	0.4699765357
388	0.4694937608
389	0.4690986572
390	0.4663189805
391	0.4646238596
392	0.4634588974
393	0.4623133244
394	0.459333698
395	0.4587384004
396	0.4572559914
397	0.4570513715
398	0.4558908201
399	0.4556661532
400	0.4541657204
401	0.4523747959
402	0.4517009756
403	0.4497309789
404	0.4479347193
405	0.4461817949
406	0.4446039448
407	0.4426086084
408	0.4409561968
409	0.4397791893
410	0.4389362267
411	0.4382235961
412	0.4367897685
413	0.4364720019
414	0.4352387363
415	0.4337599165
416	0.4322817319
417	0.4305419658
418	0.4303555258
419	0.4300938999
420	0.4299032885
421	0.4273526243
422	0.4271578015
423	0.4260091195
424	0.4241261411
425	0.4232202889
426	0.4220090942
427	0.4218625507
428	0.4199268357
429	0.418756885
430	0.4184035758
431	0.4175631439
432	0.4173287703
433	0.4171627192
434	0.4161493622
435	0.4148545102
436	0.4145428661
437	0.4139626617
438	0.4125367164
439	0.4107093366
440	0.4104707018
441	0.409736617
442	0.4084577671
443	0.4071428756
444	0.4051771452
445	0.4032402531
446	0.4022119291
447	0.4002881518
448	0.3985740546
449	0.3983657613
450	0.3977299678
451	0.3960087675
452	0.3952040141
453	0.3936972489
454	0.3934515356
455	0.3923915145
456	0.3912943417
457	0.3906519634
458	0.3891428234
459	0.3889788961
460	0.3875933826
461	0.385913346
462	0.3847302251
463	0.3830924798
464	0.3829707073
465	0.3821943785
466	0.3807248332
467	0.3804927346
468	0.3790462039
469	0.377959223
470	0.3776952202
471	0.3765989937
472	0.3754156792
473	0.374881444
474	0.3744275137
475	0.3726251736
476	0.3724262502
477	0.3722768152
478	0.3720879297
479	0.3703723991
480	0.3687085703
481	0.3686122766
482	0.3674910555
483	0.3658102505
484	0.3645392521
485	0.3633567515
486	0.3620298906
487	0.3613729535
488	0.3606566642
489	0.3590764538
490	0.3578760891
491	0.3569672139
492	0.3558929399
493	0.3557136733
494	0.355601001
495	0.3550276036
496	0.3538748484
497	0.3537587954
498	0.353668217
499	0.3531200572
500	0.3529993204
501	0.3512891711
502	0.3511479759
503	0.3496182233
504	0.3494618498
505	0.3476508593
506	0.3465098717
507	0.3451464007
508	0.344647308
509	0.3431887857
510	0.3424005166
511	0.3410204345
512	0.3397826969
513	0.3381672184
514	0.3371773635
515	0.3365262447
516	0.3351231456
517	0.3346798736
518	0.3329089314
519	0.3320403641
520	0.3308648082
521	0.3307451215
522	0.3297940864
523	0.3297118304
524	0.3287243356
525	0.3278139075
526	0.3262308424
527	0.3254270721
528	0.3253131906
529	0.3248486418
530	0.3242558622
531	0.3241775709
532	0.3232850901
533	0.3221321507
534	0.32197101
535	0.3206219229
536	0.3193768191
537	0.3192938924
538	0.3180712765
539	0.3171392311
540	0.3170039356
541	0.3160555468
542	0.3151800181
543	0.3147438678
544	0.3135670226
545	0.313495754
546	0.3132173121
547	0.3124088885
548	0.3113318427
549	0.3108531976
550	0.3097621101
551	0.3087022994
552	0.3082257545
553	0.3080972091
554	0.3069737764
555	0.3059052882
556	0.3047096307
557	0.3046099985
558	0.3042152812
559	0.3031322284
560	0.3029945188
561	0.3028792677
562	0.3021178287
563	0.3014668875
564	0.3003788406
565	0.2998785562
566	0.2991794502
567	0.2985726454
568	0.2984745831
569	0.2978456755
570	0.2976213267
571	0.2974846455
572	0.2969898781
573	0.2958798699
574	0.2948079309
575	0.2942392339
576	0.2933542236
577	0.2929738322
578	0.2916098734
579	0.2907227186
580	0.2899556431
581	0.2888814981
582	0.2882546858
583	0.2874563737
584	0.2873552018
585	0.286409248
586	0.2853225296
587	0.2852264189
588	0.2847323608
589	0.2839380155
590	0.2832480587
591	0.28241414
592	0.2823473616
593	0.2821860917
594	0.2808142112
595	0.2802908631
596	0.2793087673
597	0.2782406788
598	0.2773470431
599	0.2767286124
600	0.2757971595
601	0.2755688419
602	0.2744867563
603	0.2732704251
604	0.2727008747
605	0.2726228788
606	0.2718043233
607	0.2708984845
608	0.2705869074
609	0.2696341442
610	0.268598749
611	0.2676601428
612	0.2666836723
613	0.2665968133
614	0.2660076549
615	0.2654416332
616	0.2649794232
617	0.2642298744
618	0.2634826528
619	0.2622887842
620	0.261652458
621	0.2608747888
622	0.2595273417
623	0.258947271
624	0.2581344712
625	0.258069595
626	0.2573237781
627	0.2568427762
628	0.2557545185
629	0.2556925919
630	0.2549994148
631	0.2540879982
632	0.2532162524
633	0.2527906122
634	0.2527245379
635	0.252121055
636	0.251383717
637	0.2507552728
638	0.2500942518
639	0.2489904402
640	0.2483320614
641	0.2482605164
642	0.2478521518
643	0.2468663313
644	0.246197678
645	0.2451877489
646	0.245130704
647	0.2443241827
648	0.2435750097
649	0.243452248
650	0.2430629707
651	0.2429956663
652	0.2420496388
653	0.2418670156
654	0.2412178537
655	0.2404044457
656	0.2393078616
657	0.2389719584
658	0.2381701874
659	0.2370712664
660	0.2370162888
661	0.2361575787
662	0.2352738792
663	0.2344941752
664	0.2338261962
665	0.2337515683
666	0.233693906
667	0.2332359624
668	0.2323499388
669	0.2316640069
670	0.2313140861
671	0.2308282257
672	0.2302419941
673	0.2295490045
674	0.2289530818
675	0.2284266736
676	0.227979579
677	0.2273957637
678	0.2273440221
679	0.2265005028
680	0.2258595449
681	0.2255206627
682	0.2247665154
683	0.2246719496
684	0.2242258412
685	0.2241400294
686	0.2237279881
687	0.2236105935
688	0.2230667152
689	0.2223920715
690	0.2215972692
691	0.2210975762
692	0.2210497559
693	0.2207292944
694	0.2201886974
695	0.2200915335
696	0.2198579575
697	0.2192810994
698	0.2183053622
699	0.2179897711
700	0.2174158684
701	0.2168146161
702	0.2158392991
703	0.2151879433
704	0.2147881503
705	0.2142681045
706	0.2138340774
707	0.2130202646
708	0.212929376
709	0.2128751195
710	0.2125204452
711	0.2122834953
712	0.2114742233
713	0.2108099068
714	0.2102537279
715	0.2095163149
716	0.208718601
717	0.2076888601
718	0.2072878611
719	0.2067620921
720	0.2063594284
721	0.2055874294
722	0.2051379904
723	0.2045344833
724	0.2038497731
725	0.2029981474
726	0.2024693549
727	0.201671163
728	0.2016262073
729	0.2009591574
730	0.2002501826
731	0.199671346
732	0.1992563025
733	0.1987947312
734	0.1982534621
735	0.1979123301
736	0.1972650274
737	0.1966471543
738	0.1964340201
739	0.1957636922
740	0.1956843036
741	0.1952598578
742	0.1947576755
743	0.1941365505
744	0.193686099
745	0.1929673784
746	0.1925057591
747	0.1923176026
748	0.1922680756
749	0.1916094614
750	0.1915618181
751	0.1914817328
752	0.190893751
753	0.1905768193
754	0.1903263099
755	0.1900915466
756	0.1899565156
757	0.1893231717
758	0.188792277
759	0.1887504988
760	0.1886728184
761	0.188188906
762	0.1878268656
763	0.1876964529
764	0.1876529853
765	0.187045325
766	0.1864887759
767	0.1862435935
768	0.1861200476
769	0.1858832093
770	0.185674665
771	0.1852424818
772	0.1846713523
773	0.1842292635
774	0.1841891154
775	0.1841289832
776	0.1838083024
777	0.1836010102
778	0.183388964
779	0.183351348
780	0.1832751001
781	0.1826678109
782	0.1822392861
783	0.1820114274
784	0.1818994305
785	0.181862193
786	0.1812533336
787	0.1808175168
788	0.1800892228
789	0.1795967861
790	0.1795141489
791	0.1790805609
792	0.1786118406
793	0.1784193996
794	0.177834746
795	0.177552561
796	0.1768216581
797	0.1767475225
798	0.1766459569
799	0.1762593742
800	0.1759132173
801	0.1752907961
802	0.1749737674
803	0.1748345675
804	0.1742816996
805	0.1739548515
806	0.1735863655
807	0.173007296
808	0.1725333874
809	0.1722904356
810	0.171521836
811	0.1713649635
812	0.1709862588
813	0.170586666
814	0.1698957462
815	0.169479503
816	0.169323908
817	0.168722126
818	0.1682948846
819	0.1682683694
820	0.1676225251
821	0.1671315354
822	0.1667645938
823	0.166326312
824	0.1660146258
825	0.1657636667
826	0.1653411052
827	0.1648192608
828	0.1647886005
829	0.1644300962
830	0.1640470601
831	0.1636738409
832	0.1633262556
833	0.1628571047
834	0.1627153659
835	0.1620414951
836	0.1619829694
837	0.1618317821
838	0.1614995969
839	0.1610243354
840	0.1608281764
841	0.1606856887
842	0.1606139956
843	0.1600684398
844	0.1597526119
845	0.1594204743
846	0.1593350318
847	0.1593057882
848	0.1589572214
849	0.1582837634
850	0.1579477583
851	0.1574335196
852	0.1570610617
853	0.1566666158
854	0.1561210669
855	0.1556663355
856	0.155306729
857	0.1552723532
858	0.1548196839
859	0.1547878536
860	0.1547317001
861	0.1543499975
862	0.1541831816
863	0.1537114223
864	0.1536823774
865	0.1532331806
866	0.1532012394
867	0.1527937269
868	0.1523919541
869	0.152361279
870	0.1522313942
871	0.1518443373
872	0.1518078705
873	0.1513819706
874	0.1512100124
875	0.1507152762
876	0.1505640982
877	0.1503189854
878	0.1499941199
879	0.1499378202
880	0.1498788245
881	0.1497957755
882	0.1493540294
883	0.1493079711
884	0.1491809954
885	0.1491289188
886	0.1486704459
887	0.1483849517
888	0.1480959055
889	0.1474687129
890	0.1472865799
891	0.1472456853
892	0.1467642814
893	0.1466991223
894	0.1463934914
895	0.1462013117
896	0.1459845952
897	0.1455518332
898	0.1451064758
899	0.1449803701
900	0.144935213
901	0.1448936449
902	0.1445924232
903	0.1442404734
904	0.1441427536
905	0.1440876824
906	0.1438693816
907	0.1438453671
908	0.1433449058
909	0.14329802
910	0.142891263
911	0.1425988335
912	0.14219093
913	0.1419759754
914	0.1416339415
915	0.1415925969
916	0.1414993763
917	0.1412175217
918	0.1409567707
919	0.1407654732
920	0.140485595
921	0.1400943632
922	0.1400609358
923	0.139735872
924	0.1396901399
925	0.1393563918
926	0.1392312255
927	0.1391800841
928	0.1387754692
929	0.138240669
930	0.1381174889
931	0.1378442377
932	0.1375948334
933	0.1370705796
934	0.1366623013
935	0.1362844122
936	0.1357618054
937	0.1357219808
938	0.1351240038
939	0.1350791994
940	0.1346455102
941	0.1343198802
942	0.1341432078
943	0.1337096067
944	0.1331785665
945	0.1325930202
946	0.1322214347
947	0.1317278766
948	0.1313847002
949	0.1312632159
950	0.1309122569
951	0.1305827905
952	0.1302645892
953	0.1298725607
954	0.1297009247
955	0.1293132135
956	0.1290708607
957	0.1286338275
958	0.128294169
959	0.1282542661
960	0.1281858926
961	0.1281158449
962	0.1279060752
963	0.1277100727
964	0.1274943795
965	0.1272517921
966	0.1268707553
967	0.1263526869
968	0.1261309344
969	0.1256908754
970	0.1255819005
971	0.1251717593
972	0.124693364
973	0.1242076624
974	0.1241846095
975	0.1241609827
976	0.1236876124
977	0.1233549488
978	0.1233157142
979	0.1232792688
980	0.1232484221
981	0.1232260532
982	0.1228348161
983	0.1227449248
984	0.1224187386
985	0.1219569163
986	0.1216133607
987	0.1214082486
988	0.1213179875
989	0.1212978524
990	0.1210541322
991	0.1207702304
992	0.1205812945
993	0.1205481204
994	0.1205273876
995	0.1203030615
996	0.1202756418
997	0.1200772451
998	0.1196070836
999	0.119313906
