iter	Passed	Remaining
0	235	235530
1	279	139445
2	321	106984
3	355	88490
4	389	77608
5	425	70525
6	462	65653
7	505	62690
8	539	59352
9	574	56904
10	607	54583
11	637	52448
12	670	50918
13	741	52211
14	775	50925
15	808	49740
16	838	48512
17	871	47537
18	905	46763
19	940	46089
20	972	45323
21	1003	44608
22	1033	43882
23	1063	43239
24	1093	42638
25	1131	42376
26	1167	42069
27	1200	41689
28	1231	41224
29	1261	40799
30	1292	40401
31	1322	40000
32	1351	39613
33	1419	40318
34	1449	39958
35	1478	39581
36	1509	39292
37	1540	38989
38	1570	38707
39	1606	38551
40	1639	38338
41	1685	38449
42	1715	38183
43	1745	37930
44	1814	38512
45	1845	38273
46	1875	38022
47	1906	37806
48	1936	37585
49	1970	37441
50	2004	37294
51	2035	37117
52	2070	36987
53	2103	36851
54	2134	36666
55	2163	36474
56	2192	36273
57	2223	36118
58	2255	35973
59	2289	35872
60	2323	35768
61	2355	35630
62	2384	35464
63	2422	35426
64	2454	35313
65	2486	35187
66	2521	35108
67	2553	34995
68	2583	34855
69	2615	34742
70	2646	34634
71	2678	34522
72	2710	34418
73	2745	34352
74	2776	34239
75	2808	34146
76	2841	34057
77	2870	33933
78	2900	33813
79	2932	33727
80	2966	33659
81	2998	33564
82	3029	33468
83	3060	33369
84	3090	33270
85	3121	33171
86	3152	33088
87	3189	33051
88	3220	32966
89	3252	32891
90	3283	32801
91	3313	32704
92	3344	32618
93	3375	32537
94	3408	32467
95	3444	32439
96	3477	32372
97	3508	32289
98	3538	32206
99	3570	32134
100	3605	32091
101	3639	32038
102	3673	31989
103	3704	31918
104	3735	31837
105	3768	31779
106	3799	31712
107	3830	31640
108	3865	31594
109	3898	31540
110	3929	31467
111	3959	31395
112	3989	31318
113	4019	31243
114	4053	31191
115	4104	31279
116	4136	31217
117	4169	31166
118	4201	31105
119	4231	31034
120	4263	30974
121	4300	30948
122	4335	30913
123	4366	30844
124	4398	30788
125	4429	30728
126	4460	30660
127	4492	30602
128	4527	30569
129	4561	30526
130	4592	30465
131	4624	30407
132	4656	30356
133	4686	30290
134	4716	30223
135	4749	30171
136	4781	30120
137	4816	30083
138	4848	30034
139	4877	29964
140	4911	29919
141	4943	29871
142	4977	29832
143	5012	29794
144	5044	29742
145	5075	29685
146	5106	29633
147	5137	29573
148	5168	29522
149	5204	29489
150	5236	29442
151	5268	29393
152	5299	29335
153	5328	29272
154	5358	29213
155	5389	29157
156	5423	29119
157	5454	29066
158	5484	29009
159	5514	28953
160	5545	28901
161	5574	28835
162	5604	28780
163	5642	28760
164	5672	28708
165	5702	28650
166	5734	28602
167	5765	28550
168	5796	28500
169	5826	28447
170	5860	28409
171	5890	28354
172	5918	28292
173	5949	28244
174	5980	28195
175	6010	28140
176	6041	28089
177	6077	28065
178	6109	28020
179	6139	27970
180	6169	27916
181	6199	27864
182	6230	27814
183	6261	27770
184	6295	27735
185	6327	27690
186	6356	27637
187	6389	27596
188	6419	27545
189	6448	27489
190	6480	27448
191	6514	27416
192	6546	27372
193	6577	27328
194	6608	27282
195	6639	27237
196	6670	27189
197	6703	27151
198	6736	27116
199	6767	27071
200	6798	27023
201	6827	26973
202	6859	26931
203	6890	26884
204	6922	26846
205	6956	26811
206	6988	26774
207	7020	26733
208	7050	26684
209	7081	26640
210	7113	26599
211	7143	26551
212	7177	26520
213	7208	26475
214	7239	26432
215	7271	26392
216	7303	26353
217	7336	26315
218	7368	26277
219	7403	26248
220	7435	26209
221	7466	26166
