iter	Passed	Remaining
405	6826	9988
406	6843	9970
407	6857	9950
408	6874	9932
409	6891	9917
410	6907	9899
411	6925	9883
412	6939	9862
413	6954	9843
414	6968	9823
415	6981	9800
416	6996	9781
417	7014	9767
418	7029	9747
419	7044	9727
420	7059	9709
421	7075	9690
422	7093	9675
423	7113	9663
424	7131	9648
425	7150	9634
426	7167	9618
427	7184	9602
428	7200	9583
429	7216	9566
430	7236	9553
431	7250	9533
432	7265	9514
433	7278	9492
434	7297	9478
435	7313	9460
436	7331	9445
437	7346	9426
438	7365	9411
439	7381	9394
440	7396	9375
441	7413	9359
442	7432	9344
443	7448	9326
444	7462	9307
445	7479	9290
446	7491	9268
447	7508	9251
448	7524	9234
449	7540	9215
450	7556	9198
451	7571	9179
452	7586	9160
453	7606	9147
454	7621	9128
455	7637	9111
456	7652	9093
457	7667	9073
458	7682	9055
459	7698	9037
460	7715	9021
461	7733	9005
462	7749	8987
463	7765	8970
464	7782	8953
465	7796	8934
466	7811	8915
467	7857	8932
468	7899	8943
469	7932	8944
470	7952	8931
471	7969	8914
472	7984	8896
473	7998	8875
474	8014	8857
475	8028	8838
476	8046	8822
477	8061	8803
478	8076	8784
479	8092	8766
480	8112	8753
481	8127	8734
482	8143	8716
483	8162	8701
484	8177	8683
485	8193	8665
486	8210	8648
487	8225	8630
488	8241	8612
489	8259	8596
490	8277	8581
491	8294	8564
492	8310	8546
493	8325	8527
494	8341	8509
495	8357	8492
496	8374	8475
497	8390	8457
498	8408	8442
499	8426	8426
500	8441	8407
501	8456	8389
502	8475	8373
503	8491	8356
504	8507	8338
505	8521	8319
506	8540	8304
507	8556	8286
508	8572	8269
509	8589	8252
510	8605	8235
511	8621	8217
512	8637	8200
513	8652	8181
514	8668	8163
515	8683	8145
516	8698	8126
517	8713	8108
518	8729	8090
519	8743	8070
520	8758	8052
521	8775	8035
522	8790	8017
523	8809	8002
524	8825	7984
525	8842	7968
526	8856	7949
527	8871	7930
528	8886	7912
529	8904	7896
530	8922	7880
531	8938	7863
532	8953	7844
533	8968	7826
534	8983	7808
535	9001	7792
536	9018	7775
537	9035	7759
538	9050	7740
539	9071	7727
540	9086	7708
541	9103	7692
542	9120	7676
543	9137	7659
544	9152	7641
545	9167	7622
546	9181	7603
547	9197	7586
548	9215	7570
549	9231	7553
550	9245	7534
551	9260	7515
552	9279	7500
553	9294	7482
554	9309	7464
555	9325	7446
556	9343	7430
557	9359	7413
558	9376	7397
559	9394	7381
560	9408	7362
561	9425	7345
562	9441	7328
563	9456	7310
564	9472	7293
565	9489	7276
566	9505	7258
567	9520	7241
568	9537	7224
569	9555	7208
570	9570	7190
571	9589	7175
572	9605	7157
573	9621	7141
574	9641	7126
575	9656	7108
576	9672	7090
577	9688	7073
578	9702	7055
579	9720	7038
580	9737	7022
581	9754	7005
582	9773	6990
583	9789	6973
584	9805	6955
585	9821	6939
586	9839	6922
587	9855	6905
588	9873	6889
589	9889	6872
590	9904	6854
591	9919	6836
592	9935	6819
593	9954	6803
594	9969	6786
595	9985	6768
596	10001	6751
597	10017	6734
598	10034	6717
599	10050	6700
600	10066	6683
601	10081	6665
602	10096	6647
603	10111	6629
604	10126	6611
605	10140	6592
606	10156	6575
607	10176	6561
608	10190	6542
609	10207	6526
610	10223	6508
611	10238	6490
612	10252	6472
613	10266	6454
614	10282	6437
615	10299	6420
616	10316	6403
617	10332	6386
618	10349	6370
619	10365	6353
620	10384	6337
621	10404	6322
622	10419	6304
623	10433	6286
624	10449	6269
625	10464	6252
626	10481	6235
627	10500	6219
